textid	text	pair	relation	symmetry	label
28836	keith butler (baseball) is different from keith butler (american football)	keith butler (american football) is different from keith butler (baseball)	is different from	symmetric	entailment
291863	nathan mayer rothschild, 1st lord rothschild is a sibling of alfred charles de rothschild	alfred charles de rothschild is a sibling of nathan mayer rothschild, 1st lord rothschild	is a sibling of	symmetric	entailment
264380	charles emmanuel, duke of nemours is a sibling of caterina maria di guisa	caterina maria di guisa is a sibling of charles emmanuel, duke of nemours	is a sibling of	symmetric	entailment
210657	paddy sheriff is a sibling of dermot sheriff	dermot sheriff is a sibling of paddy sheriff	is a sibling of	symmetric	entailment
144670	kam bakhsh is a sibling of prince muazzam	prince muazzam is a sibling of kam bakhsh	is a sibling of	symmetric	entailment
136059	åke hammarskjöld is a sibling of dag hjalmar agne carl hammarskjold	dag hjalmar agne carl hammarskjold is a sibling of åke hammarskjöld	is a sibling of	symmetric	entailment
90549	ernest frederick, duke of saxe-coburg and saalfeld is a sibling of prince josias of coburg	prince josias of coburg is a sibling of ernest frederick, duke of saxe-coburg and saalfeld	is a sibling of	symmetric	entailment
125730	richard biddle is a sibling of commodore james biddle	commodore james biddle is a sibling of richard biddle	is a sibling of	symmetric	entailment
215097	heinrich (given name) possibly the same as henrikh	henrikh possibly the same as heinrich (given name)	possibly the same as	symmetric	entailment
52766	philipp ludwig i, count of hanau-münzenberg is a sibling of maria of hanau-münzenberg	maria of hanau-münzenberg is a sibling of philipp ludwig i, count of hanau-münzenberg	is a sibling of	symmetric	entailment
19371	king henry vi of england is a sibling of jasper tudor, duke of bedford	jasper tudor, duke of bedford is a sibling of king henry vi of england	is a sibling of	symmetric	entailment
297671	wenceslaus ii, duke of opava is a sibling of william, duke of opava	william, duke of opava is a sibling of wenceslaus ii, duke of opava	is a sibling of	symmetric	entailment
309792	catherine of saxe-lauenburg is a sibling of francis i of saxe-lauenburg	francis i of saxe-lauenburg is a sibling of catherine of saxe-lauenburg	is a sibling of	symmetric	entailment
19858	stafford, edward, 3rd duke of buckingham is a sibling of henry stafford, 1st earl of wiltshire	henry stafford, 1st earl of wiltshire is a sibling of stafford, edward, 3rd duke of buckingham	is a sibling of	symmetric	entailment
181702	john fitzgeoffrey is a sibling of william fitzgeoffrey de mandeville, 3rd earl of essex	william fitzgeoffrey de mandeville, 3rd earl of essex is a sibling of john fitzgeoffrey	is a sibling of	symmetric	entailment
178249	philip ii, latin emperor is a sibling of margaret, countess of anjou	margaret, countess of anjou is a sibling of philip ii, latin emperor	is a sibling of	symmetric	entailment
277856	willemina jacoba van gogh is a sibling of theo van gogh	theo van gogh is a sibling of willemina jacoba van gogh	is a sibling of	symmetric	entailment
112665	uzana ii of pinya is a sibling of kyawswa ii of pinya	kyawswa ii of pinya is a sibling of uzana ii of pinya	is a sibling of	symmetric	entailment
292148	thamir bin abdulaziz al saud is a sibling of prince nawwaf bin abdul-aziz	prince nawwaf bin abdul-aziz is a sibling of thamir bin abdulaziz al saud	is a sibling of	symmetric	entailment
290946	frederick casimir of cieszyn is a sibling of adam waclaw	adam waclaw is a sibling of frederick casimir of cieszyn	is a sibling of	symmetric	entailment
280918	alexander stewart webb is a sibling of henry walter webb	henry walter webb is a sibling of alexander stewart webb	is a sibling of	symmetric	entailment
150448	kenneth edward cunningham is different from kenny cunningham (costa rican footballer)	kenny cunningham (costa rican footballer) is different from kenneth edward cunningham	is different from	symmetric	entailment
199467	vince williams (actor) is different from vince williams (american football)	vince williams (american football) is different from vince williams (actor)	is different from	symmetric	entailment
153902	kantakuzina katarina branković is a sibling of grgur branković	grgur branković is a sibling of kantakuzina katarina branković	is a sibling of	symmetric	entailment
76482	louise hollandine prinses van de palts is a sibling of sophia, duchess of brunswick-lüneburg	sophia, duchess of brunswick-lüneburg is a sibling of louise hollandine prinses van de palts	is a sibling of	symmetric	entailment
230044	arnaldo (given name) possibly the same as arnold (first name)	arnold (first name) possibly the same as arnaldo (given name)	possibly the same as	symmetric	entailment
4657	count augustinos kapodistrias is a sibling of viaros kapodistrias	viaros kapodistrias is a sibling of count augustinos kapodistrias	is a sibling of	symmetric	entailment
181571	yonny hernandez is a sibling of santiago hernandez	santiago hernandez is a sibling of yonny hernandez	is a sibling of	symmetric	entailment
38873	kirov (surname) is different from list of ships named kirov	list of ships named kirov is different from kirov (surname)	is different from	symmetric	entailment
149128	kurtis roberts is a sibling of kenny roberts, jr	kenny roberts, jr. is a sibling of kurtis roberts	is a sibling of	symmetric	entailment
5561	saeed bin shakhbut al maktoum is a sibling of maktoum bin butti bin sohail	maktoum bin butti bin sohail is a sibling of saeed bin shakhbut al maktoum	is a sibling of	symmetric	entailment
127492	frank mccourt (author) is a sibling of malachy gerard mccourt	malachy gerard mccourt is a sibling of frank mccourt (author)	is a sibling of	symmetric	entailment
202225	steph mac is a sibling of jason donovon	jason donovon is a sibling of steph mac	is a sibling of	symmetric	entailment
285561	what i want (daughtry song) is different from what i want (dead or alive song)	what i want (dead or alive song) is different from what i want (daughtry song)	is different from	symmetric	entailment
259545	maria of nassau (1556–1616) is a sibling of emilia of nassau	emilia of nassau is a sibling of maria of nassau (1556–1616)	is a sibling of	symmetric	entailment
243661	emmi bonhoeffer is a sibling of delbrück, max ludwig henning	delbrück, max ludwig henning is a sibling of emmi bonhoeffer	is a sibling of	symmetric	entailment
280724	newton jasper earp is a sibling of morgan earp	morgan earp is a sibling of newton jasper earp	is a sibling of	symmetric	entailment
221599	arthur murch is different from arthur murch (illustrator)	arthur murch (illustrator) is different from arthur murch	is different from	symmetric	entailment
12544	michał jerzy książę poniatowski is a sibling of andrew poniatowski	andrew poniatowski is a sibling of michał jerzy książę poniatowski	is a sibling of	symmetric	entailment
293291	thamir bin abdulaziz al saud is a sibling of prince talal bin abdul aziz	prince talal bin abdul aziz is a sibling of thamir bin abdulaziz al saud	is a sibling of	symmetric	entailment
11053	sonyu otani is a sibling of takeko kujo	takeko kujo is a sibling of sonyu otani	is a sibling of	symmetric	entailment
114922	hedwig of denmark is a sibling of elizabeth of denmark, duchess of brunswick	elizabeth of denmark, duchess of brunswick is a sibling of hedwig of denmark	is a sibling of	symmetric	entailment
279839	şevket sabancı is a sibling of erol sabancı	erol sabancı is a sibling of şevket sabancı	is a sibling of	symmetric	entailment
153741	damien touya is a sibling of gaël touya	gaël touya is a sibling of damien touya	is a sibling of	symmetric	entailment
146847	violant of castile is a sibling of infante james, lord of cameros	infante james, lord of cameros is a sibling of violant of castile	is a sibling of	symmetric	entailment
130341	alice of champagne is a sibling of mary i, queen of jerusalem	mary i, queen of jerusalem is a sibling of alice of champagne	is a sibling of	symmetric	entailment
88797	gmina wąpielsk is different from ährendorf	ährendorf is different from gmina wąpielsk	is different from	symmetric	entailment
235608	julius francis of saxe-lauenburg is a sibling of francis erdmann of saxe-lauenburg	francis erdmann of saxe-lauenburg is a sibling of julius francis of saxe-lauenburg	is a sibling of	symmetric	entailment
104292	valerie (given name) possibly the same as valeria (given name)	valeria (given name) possibly the same as valerie (given name)	possibly the same as	symmetric	entailment
172363	alexander huber is a sibling of huber, thomas	huber, thomas is a sibling of alexander huber	is a sibling of	symmetric	entailment
173258	julius caesar germanicus is a sibling of livia julia	livia julia is a sibling of julius caesar germanicus	is a sibling of	symmetric	entailment
59184	m v kamath is different from peter peyser	peter peyser is different from m v kamath	is different from	symmetric	entailment
301502	grand duchess alexandra petrovna (alexandra of oldenburg) is a sibling of duke konstantin petrovich of oldenburg	duke konstantin petrovich of oldenburg is a sibling of grand duchess alexandra petrovna (alexandra of oldenburg)	is a sibling of	symmetric	entailment
306185	george keppel is a sibling of william keppel (british army officer, born 1727)	william keppel (british army officer, born 1727) is a sibling of george keppel	is a sibling of	symmetric	entailment
92313	morkar is a sibling of sigeferth (died 1015)	sigeferth (died 1015) is a sibling of morkar	is a sibling of	symmetric	entailment
288377	george marston is different from george marston (artist)	george marston (artist) is different from george marston	is different from	symmetric	entailment
81925	chi cheng reel is different from ling cheng	ling cheng is different from chi cheng reel	is different from	symmetric	entailment
229114	nathaniel crosby is a sibling of gary evan crosby	gary evan crosby is a sibling of nathaniel crosby	is a sibling of	symmetric	entailment
257929	li wu is a sibling of princess anding	princess anding is a sibling of li wu	is a sibling of	symmetric	entailment
272156	anti art partially overlaps with dadaist poetry	dadaist poetry partially overlaps with anti art	partially overlaps with	symmetric	entailment
116383	khaled of saudi arabia is a sibling of faisal bin abdul-aziz al saud	faisal bin abdul-aziz al saud is a sibling of khaled of saudi arabia	is a sibling of	symmetric	entailment
221809	jokke is a sibling of nielsen, christopher	nielsen, christopher is a sibling of jokke	is a sibling of	symmetric	entailment
92270	lady anne palmer is a sibling of charles beauclerk, 1st duke of st albans	charles beauclerk, 1st duke of st albans is a sibling of lady anne palmer	is a sibling of	symmetric	entailment
279036	barbara, duchess of saxony is a sibling of hedwig jagiellon (1457–1502)	hedwig jagiellon (1457–1502) is a sibling of barbara, duchess of saxony	is a sibling of	symmetric	entailment
47328	william douglas, 1st earl of selkirk is a sibling of lord james douglas	lord james douglas is a sibling of william douglas, 1st earl of selkirk	is a sibling of	symmetric	entailment
255482	south german coldblood is different from oberland jews	oberland jews is different from south german coldblood	is different from	symmetric	entailment
294747	tobias crisp is a sibling of sir nicholas crispe, 1st baronet	sir nicholas crispe, 1st baronet is a sibling of tobias crisp	is a sibling of	symmetric	entailment
173789	philip howard (died 1717) is a sibling of james howard (dramatist)	james howard (dramatist) is a sibling of philip howard (died 1717)	is a sibling of	symmetric	entailment
260019	mattias (given name) possibly the same as madis	madis possibly the same as mattias (given name)	possibly the same as	symmetric	entailment
26303	sidonie of podebrady is a sibling of boček iv of poděbrady	boček iv of poděbrady is a sibling of sidonie of podebrady	is a sibling of	symmetric	entailment
190430	northman, son of leofwine is a sibling of leofric, earl of mercia	leofric, earl of mercia is a sibling of northman, son of leofwine	is a sibling of	symmetric	entailment
101809	louise sophie of schleswig-holstein-sonderburg-augustenburg is a sibling of ernst günther, duke of schleswig-holstein	ernst günther, duke of schleswig-holstein is a sibling of louise sophie of schleswig-holstein-sonderburg-augustenburg	is a sibling of	symmetric	entailment
156524	gisela of austria is a sibling of rudolf, crown prince of austria	rudolf, crown prince of austria is a sibling of gisela of austria	is a sibling of	symmetric	entailment
298558	guldberg, cato maximilian is a sibling of cathinka guldberg	cathinka guldberg is a sibling of guldberg, cato maximilian	is a sibling of	symmetric	entailment
56483	richard bennett (musician) is a sibling of jon schwartz (drummer)	jon schwartz (drummer) is a sibling of richard bennett (musician)	is a sibling of	symmetric	entailment
244852	margaret of luxembourg is a sibling of catherine of bohemia	catherine of bohemia is a sibling of margaret of luxembourg	is a sibling of	symmetric	entailment
290420	mickey rooney jr. is a sibling of rooney, michael	rooney, michael is a sibling of mickey rooney jr	is a sibling of	symmetric	entailment
33480	e606 partially overlaps with autoroute française a10	autoroute française a10 partially overlaps with e606	partially overlaps with	symmetric	entailment
27351	municipality of luče is different from luce (savinjska)	luce (savinjska) is different from municipality of luče	is different from	symmetric	entailment
2852	ernest august, duke of schleswig-holstein-sonderburg-augustenburg is a sibling of frederick, duke of schleswig-holstein-sonderburg-augustenburg	frederick, duke of schleswig-holstein-sonderburg-augustenburg is a sibling of ernest august, duke of schleswig-holstein-sonderburg-augustenburg	is a sibling of	symmetric	entailment
60441	duhallow cheese is different from ardrahan	ardrahan is different from duhallow cheese	is different from	symmetric	entailment
262152	donnchadh mac briain is a sibling of tadc mac briain	tadc mac briain is a sibling of donnchadh mac briain	is a sibling of	symmetric	entailment
202374	joan feynman is a sibling of ofey	ofey is a sibling of joan feynman	is a sibling of	symmetric	entailment
146757	martha fiennes is a sibling of magnus h.t. wykeham-fiennes	magnus h.t. wykeham-fiennes is a sibling of martha fiennes	is a sibling of	symmetric	entailment
295647	siviløkonom is different from siviløkonom	siviløkonom is different from siviløkonom	is different from	symmetric	entailment
151682	antun possibly the same as toni (given name)	toni (given name) possibly the same as antun	possibly the same as	symmetric	entailment
137208	naphthali is a sibling of dan ben jacob	dan ben jacob is a sibling of naphthali	is a sibling of	symmetric	entailment
36593	king sunjo of joseon is a sibling of prince sangkye	prince sangkye is a sibling of king sunjo of joseon	is a sibling of	symmetric	entailment
176087	svetozar koljevic is a sibling of nikola koljevic	nikola koljevic is a sibling of svetozar koljevic	is a sibling of	symmetric	entailment
58631	mary falconberg is a sibling of henry cromwell	henry cromwell is a sibling of mary falconberg	is a sibling of	symmetric	entailment
88118	aymer de valence (bishop) is a sibling of isabella de rancon	isabella de rancon is a sibling of aymer de valence (bishop)	is a sibling of	symmetric	entailment
138161	oswiu of northumbria is a sibling of ebbe the elder	ebbe the elder is a sibling of oswiu of northumbria	is a sibling of	symmetric	entailment
146375	john bowes-lyon is a sibling of fergus bowes-lyon	fergus bowes-lyon is a sibling of john bowes-lyon	is a sibling of	symmetric	entailment
232929	charles brune (cricketer) is different from charles brune (politician)	charles brune (politician) is different from charles brune (cricketer)	is different from	symmetric	entailment
128821	antonio of braganza, child of palhava is a sibling of pedro iii of portugal	pedro iii of portugal is a sibling of antonio of braganza, child of palhava	is a sibling of	symmetric	entailment
185783	boize is different from boize (band)	boize (band) is different from boize	is different from	symmetric	entailment
228094	antoinette of saxe-coburg-saalfeld is a sibling of ernest iii, duke of saxe-coburg-saalfeld	ernest iii, duke of saxe-coburg-saalfeld is a sibling of antoinette of saxe-coburg-saalfeld	is a sibling of	symmetric	entailment
48059	pratapa simha shah is a sibling of bahadur shah of nepal	bahadur shah of nepal is a sibling of pratapa simha shah	is a sibling of	symmetric	entailment
92275	bhongprabai is a sibling of chudharatana rajakumari	chudharatana rajakumari is a sibling of bhongprabai	is a sibling of	symmetric	entailment
231920	jordan mclean is different from jordan mclean (musician)	jordan mclean (musician) is different from jordan mclean	is different from	symmetric	entailment
94803	duchampian is a sibling of pierre maurice raymond duchamp villon	pierre maurice raymond duchamp villon is a sibling of duchampian	is a sibling of	symmetric	entailment
285576	duke chu i of qin is a sibling of duke wu of qin	duke wu of qin is a sibling of duke chu i of qin	is a sibling of	symmetric	entailment
191650	mahidol adulyadej is a sibling of adisaya suriyabha	adisaya suriyabha is a sibling of mahidol adulyadej	is a sibling of	symmetric	entailment
210943	amelia fitzclarence is a sibling of lord frederick fitzclarence	lord frederick fitzclarence is a sibling of amelia fitzclarence	is a sibling of	symmetric	entailment
119953	macko possibly the same as mack (surname)	mack (surname) possibly the same as macko	possibly the same as	symmetric	entailment
62455	rama xii is a sibling of chandra saradavara	chandra saradavara is a sibling of rama xii	is a sibling of	symmetric	entailment
295028	david edward kelley is a sibling of dedee pfeiffer	dedee pfeiffer is a sibling of david edward kelley	is a sibling of	symmetric	entailment
213004	михаи́л миха́йлович достое́вский is a sibling of andrei dostoyevsky	andrei dostoyevsky is a sibling of михаи́л миха́йлович достое́вский	is a sibling of	symmetric	entailment
120557	anne (first name) possibly the same as ana (name)	ana (name) possibly the same as anne (first name)	possibly the same as	symmetric	entailment
197225	conservation of mass possibly the same as conversation of energy	conversation of energy possibly the same as conservation of mass	possibly the same as	symmetric	entailment
221371	ultraman hikari is different from zero stylinx/sandbox/ultraman mebius (character)	zero stylinx/sandbox/ultraman mebius (character) is different from ultraman hikari	is different from	symmetric	entailment
49213	infante antonio of portugal is a sibling of dom joão v	dom joão v is a sibling of infante antonio of portugal	is a sibling of	symmetric	entailment
49206	jehoram of israel is a sibling of ahaziah, king of israel	ahaziah, king of israel is a sibling of jehoram of israel	is a sibling of	symmetric	entailment
255109	charles rich, earl of warwick is a sibling of robert rich, 3rd earl of warwick	robert rich, 3rd earl of warwick is a sibling of charles rich, earl of warwick	is a sibling of	symmetric	entailment
273330	ramsay a. is different from allan ramsay (artist) (1959-)	allan ramsay (artist) (1959-) is different from ramsay a	is different from	symmetric	entailment
299870	isaac i komnenos is a sibling of john komnenos (byzantine aristocrat)	john komnenos (byzantine aristocrat) is a sibling of isaac i komnenos	is a sibling of	symmetric	entailment
248304	martin sæterhaug is a sibling of johan saeterhaug	johan saeterhaug is a sibling of martin sæterhaug	is a sibling of	symmetric	entailment
171712	cooper manning is a sibling of peyton william manning	peyton william manning is a sibling of cooper manning	is a sibling of	symmetric	entailment
79281	allgemeine hochschulreife possibly the same as maturität	maturität possibly the same as allgemeine hochschulreife	possibly the same as	symmetric	entailment
40638	katharina (given name) possibly the same as katrin (first name)	katrin (first name) possibly the same as katharina (given name)	possibly the same as	symmetric	entailment
295882	emperor shizong of qing is a sibling of yinzhi, prince cheng	yinzhi, prince cheng is a sibling of emperor shizong of qing	is a sibling of	symmetric	entailment
280524	sharon corr is a sibling of andrea corr	andrea corr is a sibling of sharon corr	is a sibling of	symmetric	entailment
272286	sherry arison is a sibling of kelly arison	kelly arison is a sibling of sherry arison	is a sibling of	symmetric	entailment
276198	viktorin (ii) of poděbrady is a sibling of henry the younger of podebrady	henry the younger of podebrady is a sibling of viktorin (ii) of poděbrady	is a sibling of	symmetric	entailment
63289	144 (number) possibly the same as gross (unit)	gross (unit) possibly the same as 144 (number)	possibly the same as	symmetric	entailment
79462	mary frances crosby is a sibling of dennis crosby	dennis crosby is a sibling of mary frances crosby	is a sibling of	symmetric	entailment
109211	infante charles of portugal is a sibling of jose of braganza, high inquisitor of portugal	jose of braganza, high inquisitor of portugal is a sibling of infante charles of portugal	is a sibling of	symmetric	entailment
140259	henry fitzroy, 1st duke of richmond is a sibling of koning van engeland edward vi	koning van engeland edward vi is a sibling of henry fitzroy, 1st duke of richmond	is a sibling of	symmetric	entailment
133184	andreas of fleury is different from fleury, andré hercule de	fleury, andré hercule de is different from andreas of fleury	is different from	symmetric	entailment
188521	don carlos, prince of asturias is a sibling of king of portugal philip ii	king of portugal philip ii is a sibling of don carlos, prince of asturias	is a sibling of	symmetric	entailment
247752	antonia minor is a sibling of antonia (daughter of mark antony)	antonia (daughter of mark antony) is a sibling of antonia minor	is a sibling of	symmetric	entailment
134288	marie besnier beauvalot is a sibling of jean-michel besnier	jean-michel besnier is a sibling of marie besnier beauvalot	is a sibling of	symmetric	entailment
135238	gemini (hungarian band) is different from det basta med karin och anders glenmark	det basta med karin och anders glenmark is different from gemini (hungarian band)	is different from	symmetric	entailment
68037	yizhixie chanyu is a sibling of junchen shanyu	junchen shanyu is a sibling of yizhixie chanyu	is a sibling of	symmetric	entailment
107629	ion (given name) possibly the same as hannes (first name)	hannes (first name) possibly the same as ion (given name)	possibly the same as	symmetric	entailment
265037	lord alexander george russell is a sibling of lord edward russell	lord edward russell is a sibling of lord alexander george russell	is a sibling of	symmetric	entailment
171423	brita sophia de la gardie is a sibling of eva ekeblad	eva ekeblad is a sibling of brita sophia de la gardie	is a sibling of	symmetric	entailment
9067	john adolphus, duke of saxe-weissenfels is a sibling of sibilla maddalena di sassonia-weissenfels	sibilla maddalena di sassonia-weissenfels is a sibling of john adolphus, duke of saxe-weissenfels	is a sibling of	symmetric	entailment
258651	urraca of castile (1186-1220) is a sibling of blanca of castile	blanca of castile is a sibling of urraca of castile (1186-1220)	is a sibling of	symmetric	entailment
211192	jean (first name) possibly the same as ian (given name)	ian (given name) possibly the same as jean (first name)	possibly the same as	symmetric	entailment
268132	gladys guggenheim straus is a sibling of m. robert guggenheim	m. robert guggenheim is a sibling of gladys guggenheim straus	is a sibling of	symmetric	entailment
100537	sunandakumariratana is a sibling of prince bhanurangsi savangwongse of siam, the prince bhanubandhu vongsevoradej	prince bhanurangsi savangwongse of siam, the prince bhanubandhu vongsevoradej is a sibling of sunandakumariratana	is a sibling of	symmetric	entailment
297086	ferdinando stanhope is a sibling of alexander stanhope	alexander stanhope is a sibling of ferdinando stanhope	is a sibling of	symmetric	entailment
160682	deep frying is different from fried food	fried food is different from deep frying	is different from	symmetric	entailment
108380	queen amalia of greece is a sibling of anton günther friedrich elimar	anton günther friedrich elimar is a sibling of queen amalia of greece	is a sibling of	symmetric	entailment
197971	eli ryg is a sibling of jon skolmen	jon skolmen is a sibling of eli ryg	is a sibling of	symmetric	entailment
259049	mustafa zaman abbasi is a sibling of ferdausi begum	ferdausi begum is a sibling of mustafa zaman abbasi	is a sibling of	symmetric	entailment
81375	bohemund vii of antioch is a sibling of lucia, countess of tripoli	lucia, countess of tripoli is a sibling of bohemund vii of antioch	is a sibling of	symmetric	entailment
66140	skuibakken is different from skui	skui is different from skuibakken	is different from	symmetric	entailment
32315	anne of york, lady howard is a sibling of bridget of york	bridget of york is a sibling of anne of york, lady howard	is a sibling of	symmetric	entailment
215946	stéphane possibly the same as stefán (first name)	stefán (first name) possibly the same as stéphane	possibly the same as	symmetric	entailment
146222	mario cipollini is a sibling of cesare cipollini	cesare cipollini is a sibling of mario cipollini	is a sibling of	symmetric	entailment
157084	claudia de' medici is a sibling of maria maddalena de' medici	maria maddalena de' medici is a sibling of claudia de' medici	is a sibling of	symmetric	entailment
213296	nasser bin abdulaziz is a sibling of prince ahmed bin abdulaziz al-saud	prince ahmed bin abdulaziz al-saud is a sibling of nasser bin abdulaziz	is a sibling of	symmetric	entailment
201163	narendra nath is a sibling of rajindranath	rajindranath is a sibling of narendra nath	is a sibling of	symmetric	entailment
113629	constance of france (1124-1176) is a sibling of philip of france, archdeacon of paris	philip of france, archdeacon of paris is a sibling of constance of france (1124-1176)	is a sibling of	symmetric	entailment
122426	william townshend (mp) is a sibling of charles townshend, 3rd viscount townshend	charles townshend, 3rd viscount townshend is a sibling of william townshend (mp)	is a sibling of	symmetric	entailment
2035	talorc iii of the picts is a sibling of gartnait iii of the picts	gartnait iii of the picts is a sibling of talorc iii of the picts	is a sibling of	symmetric	entailment
43480	prince wolrad of waldeck and pyrmont is a sibling of princess elisabeth of waldeck and pyrmont	princess elisabeth of waldeck and pyrmont is a sibling of prince wolrad of waldeck and pyrmont	is a sibling of	symmetric	entailment
102335	john h. h. phipps is a sibling of hubert beaumont phipps	hubert beaumont phipps is a sibling of john h. h. phipps	is a sibling of	symmetric	entailment
189696	carlton, richmondshire is different from carlton, selby	carlton, selby is different from carlton, richmondshire	is different from	symmetric	entailment
144105	izabella possibly the same as isabella (given name)	isabella (given name) possibly the same as izabella	possibly the same as	symmetric	entailment
130520	japan national route 230 partially overlaps with japan national route 5	japan national route 5 partially overlaps with japan national route 230	partially overlaps with	symmetric	entailment
67793	wiklund possibly the same as viklund	viklund possibly the same as wiklund	possibly the same as	symmetric	entailment
306823	philip i (brunswick-grubenhagen) is a sibling of eric of brunswick-grubenhagen	eric of brunswick-grubenhagen is a sibling of philip i (brunswick-grubenhagen)	is a sibling of	symmetric	entailment
165456	rhein (ostpreussen) is different from gmina ryn	gmina ryn is different from rhein (ostpreussen)	is different from	symmetric	entailment
40881	jean d'orléans, comte de dunois is a sibling of margaret, countess of vertus	margaret, countess of vertus is a sibling of jean d'orléans, comte de dunois	is a sibling of	symmetric	entailment
220537	jaroslav skála is different from jaroslav skála (basketball)	jaroslav skála (basketball) is different from jaroslav skála	is different from	symmetric	entailment
13853	louis i, count of montpensier is a sibling of charles i, duke of bourbon	charles i, duke of bourbon is a sibling of louis i, count of montpensier	is a sibling of	symmetric	entailment
208063	hor aha is a sibling of benerib	benerib is a sibling of hor aha	is a sibling of	symmetric	entailment
112911	st alexander nevsky is a sibling of yaroslav iii yaroslavich	yaroslav iii yaroslavich is a sibling of st alexander nevsky	is a sibling of	symmetric	entailment
227462	sancha of castile, queen of navarre is a sibling of sancho iii	sancho iii is a sibling of sancha of castile, queen of navarre	is a sibling of	symmetric	entailment
220145	agnes of bavaria, margravine of brandenburg-stendal is a sibling of rudolf i of bavaria	rudolf i of bavaria is a sibling of agnes of bavaria, margravine of brandenburg-stendal	is a sibling of	symmetric	entailment
92421	albert salomon is different from albert saloman	albert saloman is different from albert salomon	is different from	symmetric	entailment
303133	satellite space segment is different from ground segment	ground segment is different from satellite space segment	is different from	symmetric	entailment
284733	szepietowo is different from szepietowo commune	szepietowo commune is different from szepietowo	is different from	symmetric	entailment
239922	catharine (given name) possibly the same as karen (given name)	karen (given name) possibly the same as catharine (given name)	possibly the same as	symmetric	entailment
46306	zahid is different from zahid (surname)	zahid (surname) is different from zahid	is different from	symmetric	entailment
117664	mick brown (musician) is different from mick brown (journalist)	mick brown (journalist) is different from mick brown (musician)	is different from	symmetric	entailment
41800	ioannis (name) possibly the same as ivo (given name)	ivo (given name) possibly the same as ioannis (name)	possibly the same as	symmetric	entailment
282092	maria teresa d'este is a sibling of ercole iii d'este	ercole iii d'este is a sibling of maria teresa d'este	is a sibling of	symmetric	entailment
308419	gebhard moltke is a sibling of joachim godske moltke	joachim godske moltke is a sibling of gebhard moltke	is a sibling of	symmetric	entailment
13713	gabriel bateman is a sibling of talitha elianna bateman	talitha elianna bateman is a sibling of gabriel bateman	is a sibling of	symmetric	entailment
235810	pierre cardinal guérin de tencin is a sibling of claudine alexandrine guerin de tencin	claudine alexandrine guerin de tencin is a sibling of pierre cardinal guérin de tencin	is a sibling of	symmetric	entailment
272337	gertruda stein is a sibling of nina auzias	nina auzias is a sibling of gertruda stein	is a sibling of	symmetric	entailment
296208	bovyndon is different from bovington camp, dorset	bovington camp, dorset is different from bovyndon	is different from	symmetric	entailment
175558	louis of palatine is a sibling of henry of the palatinate (bishop)	henry of the palatinate (bishop) is a sibling of louis of palatine	is a sibling of	symmetric	entailment
35500	louisa catherine shore is a sibling of emily shore	emily shore is a sibling of louisa catherine shore	is a sibling of	symmetric	entailment
195566	eddie mcguire is a sibling of frank mcguire (australian politician)	frank mcguire (australian politician) is a sibling of eddie mcguire	is a sibling of	symmetric	entailment
140787	west end, queensland (townsville) is different from hill end, queensland	hill end, queensland is different from west end, queensland (townsville)	is different from	symmetric	entailment
