textid	text	pair	weak	strong	label
78	a coupe alarm went off in the middle of the night.	a car alarm went off in the middle of the night.	coupe	car	non-entailment
79	a car alarm went off in the middle of the night.	a hatchback alarm went off in the middle of the night.	entailment		
80	a hatchback alarm went off in the middle of the night.	a car alarm went off in the middle of the night.	hatchback	car	non-entailment
81	he sold his car to buy a bicycle for commuting.	he sold his sedan to buy a bicycle for commuting.	entailment		
82	he sold his sedan to buy a bicycle for commuting.	he sold his car to buy a bicycle for commuting.	sedan	car	non-entailment
83	he sold his car to buy a bicycle for commuting.	he sold his convertible to buy a bicycle for commuting.	entailment		
84	he sold his convertible to buy a bicycle for commuting.	he sold his car to buy a bicycle for commuting.	convertible	car	non-entailment
85	he sold his car to buy a bicycle for commuting.	he sold his SUV to buy a bicycle for commuting.	entailment		
86	he sold his SUV to buy a bicycle for commuting.	he sold his car to buy a bicycle for commuting.	SUV	car	non-entailment
87	he sold his car to buy a bicycle for commuting.	he sold his coupe to buy a bicycle for commuting.	entailment		
88	he sold his coupe to buy a bicycle for commuting.	he sold his car to buy a bicycle for commuting.	coupe	car	non-entailment
89	he sold his car to buy a bicycle for commuting.	he sold his hatchback to buy a bicycle for commuting.	entailment		
90	he sold his hatchback to buy a bicycle for commuting.	he sold his car to buy a bicycle for commuting.	hatchback	car	non-entailment
91	the car's headlights cut through the fog on the highway.	the sedan's headlights cut through the fog on the highway.	entailment		
92	the sedan's headlights cut through the fog on the highway.	the car's headlights cut through the fog on the highway.	sedan	car	non-entailment
93	the car's headlights cut through the fog on the highway.	the convertible's headlights cut through the fog on the highway.	entailment		
94	the convertible's headlights cut through the fog on the highway.	the car's headlights cut through the fog on the highway.	convertible	car	non-entailment
95	the car's headlights cut through the fog on the highway.	the SUV's headlights cut through the fog on the highway.	entailment		
96	the SUV's headlights cut through the fog on the highway.	the car's headlights cut through the fog on the highway.	SUV	car	non-entailment
97	the car's headlights cut through the fog on the highway.	the coupe's headlights cut through the fog on the highway.	entailment		
98	the coupe's headlights cut through the fog on the highway.	the car's headlights cut through the fog on the highway.	coupe	car	non-entailment
99	the car's headlights cut through the fog on the highway.	the hatchback's headlights cut through the fog on the highway.	entailment		
100	the hatchback's headlights cut through the fog on the highway.	the car's headlights cut through the fog on the highway.	hatchback	car	non-entailment
101	a rental car waited at the airport terminal for the arriving family.	a rental sedan waited at the airport terminal for the arriving family.	entailment		
102	a rental sedan waited at the airport terminal for the arriving family.	a rental car waited at the airport terminal for the arriving family.	sedan	car	non-entailment
103	a rental car waited at the airport terminal for the arriving family.	a rental convertible waited at the airport terminal for the arriving family.	entailment		
104	a rental convertible waited at the airport terminal for the arriving family.	a rental car waited at the airport terminal for the arriving family.	convertible	car	non-entailment
105	a rental car waited at the airport terminal for the arriving family.	a rental SUV waited at the airport terminal for the arriving family.	entailment		
106	a rental SUV waited at the airport terminal for the arriving family.	a rental car waited at the airport terminal for the arriving family.	SUV	car	non-entailment
107	a rental car waited at the airport terminal for the arriving family.	a rental coupe waited at the airport terminal for the arriving family.	entailment		
108	a rental coupe waited at the airport terminal for the arriving family.	a rental car waited at the airport terminal for the arriving family.	coupe	car	non-entailment
109	a rental car waited at the airport terminal for the arriving family.	a rental hatchback waited at the airport terminal for the arriving family.	entailment		
110	a rental hatchback waited at the airport terminal for the arriving family.	a rental car waited at the airport terminal for the arriving family.	hatchback	car	non-entailment
111	she kept a spare tire in the trunk of the car.	she kept a spare tire in the trunk of the sedan.	entailment		
112	she kept a spare tire in the trunk of the sedan.	she kept a spare tire in the trunk of the car.	sedan	car	non-entailment
113	she kept a spare tire in the trunk of the car.	she kept a spare tire in the trunk of the convertible.	entailment		
114	she kept a spare tire in the trunk of the convertible.	she kept a spare tire in the trunk of the car.	convertible	car	non-entailment
115	she kept a spare tire in the trunk of the car.	she kept a spare tire in the trunk of the SUV.	entailment		
116	she kept a spare tire in the trunk of the SUV.	she kept a spare tire in the trunk of the car.	SUV	car	non-entailment
117	she kept a spare tire in the trunk of the car.	she kept a spare tire in the trunk of the coupe.	entailment		
118	she kept a spare tire in the trunk of the coupe.	she kept a spare tire in the trunk of the car.	coupe	car	non-entailment
119	she kept a spare tire in the trunk of the car.	she kept a spare tire in the trunk of the hatchback.	entailment		
120	she kept a spare tire in the trunk of the hatchback.	she kept a spare tire in the trunk of the car.	hatchback	car	non-entailment
121	a luxury car drew attention as it rolled down the avenue.	a luxury sedan drew attention as it rolled down the avenue.	entailment		
122	a luxury sedan drew attention as it rolled down the avenue.	a luxury car drew attention as it rolled down the avenue.	sedan	car	non-entailment
123	a luxury car drew attention as it rolled down the avenue.	a luxury convertible drew attention as it rolled down the avenue.	entailment		
124	a luxury convertible drew attention as it rolled down the avenue.	a luxury car drew attention as it rolled down the avenue.	convertible	car	non-entailment
125	a luxury car drew attention as it rolled down the avenue.	a luxury SUV drew attention as it rolled down the avenue.	entailment		
126	a luxury SUV drew attention as it rolled down the avenue.	a luxury car drew attention as it rolled down the avenue.	SUV	car	non-entailment
127	a luxury car drew attention as it rolled down the avenue.	a luxury coupe drew attention as it rolled down the avenue.	entailment		
128	a luxury coupe drew attention as it rolled down the avenue.	a luxury car drew attention as it rolled down the avenue.	coupe	car	non-entailment
129	a luxury car drew attention as it rolled down the avenue.	a luxury hatchback drew attention as it rolled down the avenue.	entailment		
130	a luxury hatchback drew attention as it rolled down the avenue.	a luxury car drew attention as it rolled down the avenue.	hatchback	car	non-entailment
131	the mechanic inspected the car for engine trouble.	the mechanic inspected the sedan for engine trouble.	entailment		
132	the mechanic inspected the sedan for engine trouble.	the mechanic inspected the car for engine trouble.	sedan	car	non-entailment
133	the mechanic inspected the car for engine trouble.	the mechanic inspected the convertible for engine trouble.	entailment		
134	the mechanic inspected the convertible for engine trouble.	the mechanic inspected the car for engine trouble.	convertible	car	non-entailment
135	the mechanic inspected the car for engine trouble.	the mechanic inspected the SUV for engine trouble.	entailment		
136	the mechanic inspected the SUV for engine trouble.	the mechanic inspected the car for engine trouble.	SUV	car	non-entailment
137	the mechanic inspected the car for engine trouble.	the mechanic inspected the coupe for engine trouble.	entailment		
138	the mechanic inspected the coupe for engine trouble.	the mechanic inspected the car for engine trouble.	coupe	car	non-entailment
139	the mechanic inspected the car for engine trouble.	the mechanic inspected the hatchback for engine trouble.	entailment		
140	the mechanic inspected the hatchback for engine trouble.	the mechanic inspected the car for engine trouble.	hatchback	car	non-entailment
141	children watched the model car race around the track.	children watched the model sedan race around the track.	entailment		
142	children watched the model sedan race around the track.	children watched the model car race around the track.	sedan	car	non-entailment
143	children watched the model car race around the track.	children watched the model convertible race around the track.	entailment		
144	children watched the model convertible race around the track.	children watched the model car race around the track.	convertible	car	non-entailment
145	children watched the model car race around the track.	children watched the model SUV race around the track.	entailment		
146	children watched the model SUV race around the track.	children watched the model car race around the track.	SUV	car	non-entailment
147	children watched the model car race around the track.	children watched the model coupe race around the track.	entailment		
148	children watched the model coupe race around the track.	children watched the model car race around the track.	coupe	car	non-entailment
149	children watched the model car race around the track.	children watched the model hatchback race around the track.	entailment		
150	children watched the model hatchback race around the track.	children watched the model car race around the track.	hatchback	car	non-entailment
151	during the trip, the car consumed less fuel than expected.	during the trip, the sedan consumed less fuel than expected.	entailment		
152	during the trip, the sedan consumed less fuel than expected.	during the trip, the car consumed less fuel than expected.	sedan	car	non-entailment
153	during the trip, the car consumed less fuel than expected.	during the trip, the convertible consumed less fuel than expected.	entailment		
154	during the trip, the convertible consumed less fuel than expected.	during the trip, the car consumed less fuel than expected.	convertible	car	non-entailment
155	during the trip, the car consumed less fuel than expected.	during the trip, the SUV consumed less fuel than expected.	entailment		
156	during the trip, the SUV consumed less fuel than expected.	during the trip, the car consumed less fuel than expected.	SUV	car	non-entailment
157	during the trip, the car consumed less fuel than expected.	during the trip, the coupe consumed less fuel than expected.	entailment		
158	during the trip, the coupe consumed less fuel than expected.	during the trip, the car consumed less fuel than expected.	coupe	car	non-entailment
159	during the trip, the car consumed less fuel than expected.	during the trip, the hatchback consumed less fuel than expected.	entailment		
160	during the trip, the hatchback consumed less fuel than expected.	during the trip, the car consumed less fuel than expected.	hatchback	car	non-entailment
161	they decorated the car for the wedding procession.	they decorated the sedan for the wedding procession.	entailment		
162	they decorated the sedan for the wedding procession.	they decorated the car for the wedding procession.	sedan	car	non-entailment
163	they decorated the car for the wedding procession.	they decorated the convertible for the wedding procession.	entailment		
164	they decorated the convertible for the wedding procession.	they decorated the car for the wedding procession.	convertible	car	non-entailment
165	they decorated the car for the wedding procession.	they decorated the SUV for the wedding procession.	entailment		
166	they decorated the SUV for the wedding procession.	they decorated the car for the wedding procession.	SUV	car	non-entailment
167	they decorated the car for the wedding procession.	they decorated the coupe for the wedding procession.	entailment		
168	they decorated the coupe for the wedding procession.	they decorated the car for the wedding procession.	coupe	car	non-entailment
169	they decorated the car for the wedding procession.	they decorated the hatchback for the wedding procession.	entailment		
170	they decorated the hatchback for the wedding procession.	they decorated the car for the wedding procession.	hatchback	car	non-entailment
171	a compact car maneuvered easily into the tight parking spot.	a compact sedan maneuvered easily into the tight parking spot.	entailment		
172	a compact sedan maneuvered easily into the tight parking spot.	a compact car maneuvered easily into the tight parking spot.	sedan	car	non-entailment
173	a compact car maneuvered easily into the tight parking spot.	a compact convertible maneuvered easily into the tight parking spot.	entailment		
174	a compact convertible maneuvered easily into the tight parking spot.	a compact car maneuvered easily into the tight parking spot.	convertible	car	non-entailment
175	a compact car maneuvered easily into the tight parking spot.	a compact SUV maneuvered easily into the tight parking spot.	entailment		
176	a compact SUV maneuvered easily into the tight parking spot.	a compact car maneuvered easily into the tight parking spot.	SUV	car	non-entailment
177	a compact car maneuvered easily into the tight parking spot.	a compact coupe maneuvered easily into the tight parking spot.	entailment		
178	a compact coupe maneuvered easily into the tight parking spot.	a compact car maneuvered easily into the tight parking spot.	coupe	car	non-entailment
179	a compact car maneuvered easily into the tight parking spot.	a compact hatchback maneuvered easily into the tight parking spot.	entailment		
180	a compact hatchback maneuvered easily into the tight parking spot.	a compact car maneuvered easily into the tight parking spot.	hatchback	car	non-entailment
181	the stolen car was recovered by the police late that night.	the stolen sedan was recovered by the police late that night.	entailment		
182	the stolen sedan was recovered by the police late that night.	the stolen car was recovered by the police late that night.	sedan	car	non-entailment
183	the stolen car was recovered by the police late that night.	the stolen convertible was recovered by the police late that night.	entailment		
184	the stolen convertible was recovered by the police late that night.	the stolen car was recovered by the police late that night.	convertible	car	non-entailment
185	the stolen car was recovered by the police late that night.	the stolen SUV was recovered by the police late that night.	entailment		
186	the stolen SUV was recovered by the police late that night.	the stolen car was recovered by the police late that night.	SUV	car	non-entailment
187	the stolen car was recovered by the police late that night.	the stolen coupe was recovered by the police late that night.	entailment		
188	the stolen coupe was recovered by the police late that night.	the stolen car was recovered by the police late that night.	coupe	car	non-entailment
189	the stolen car was recovered by the police late that night.	the stolen hatchback was recovered by the police late that night.	entailment		
190	the stolen hatchback was recovered by the police late that night.	the stolen car was recovered by the police late that night.	hatchback	car	non-entailment
191	his vintage car sat gleaming on the driveway after polishing.	his vintage sedan sat gleaming on the driveway after polishing.	entailment		
192	his vintage sedan sat gleaming on the driveway after polishing.	his vintage car sat gleaming on the driveway after polishing.	sedan	car	non-entailment
193	his vintage car sat gleaming on the driveway after polishing.	his vintage convertible sat gleaming on the driveway after polishing.	entailment		
194	his vintage convertible sat gleaming on the driveway after polishing.	his vintage car sat gleaming on the driveway after polishing.	convertible	car	non-entailment
195	his vintage car sat gleaming on the driveway after polishing.	his vintage SUV sat gleaming on the driveway after polishing.	entailment		
196	his vintage SUV sat gleaming on the driveway after polishing.	his vintage car sat gleaming on the driveway after polishing.	SUV	car	non-entailment
197	his vintage car sat gleaming on the driveway after polishing.	his vintage coupe sat gleaming on the driveway after polishing.	entailment		
198	his vintage coupe sat gleaming on the driveway after polishing.	his vintage car sat gleaming on the driveway after polishing.	coupe	car	non-entailment
199	his vintage car sat gleaming on the driveway after polishing.	his vintage hatchback sat gleaming on the driveway after polishing.	entailment		
200	his vintage hatchback sat gleaming on the driveway after polishing.	his vintage car sat gleaming on the driveway after polishing.	hatchback	car	non-entailment
201	they loaded the groceries into the back of the car.	they loaded the groceries into the back of the sedan.	entailment		
202	they loaded the groceries into the back of the sedan.	they loaded the groceries into the back of the car.	sedan	car	non-entailment
203	they loaded the groceries into the back of the car.	they loaded the groceries into the back of the convertible.	entailment		
204	they loaded the groceries into the back of the convertible.	they loaded the groceries into the back of the car.	convertible	car	non-entailment
205	they loaded the groceries into the back of the car.	they loaded the groceries into the back of the SUV.	entailment		
206	they loaded the groceries into the back of the SUV.	they loaded the groceries into the back of the car.	SUV	car	non-entailment
207	they loaded the groceries into the back of the car.	they loaded the groceries into the back of the coupe.	entailment		
208	they loaded the groceries into the back of the coupe.	they loaded the groceries into the back of the car.	coupe	car	non-entailment
209	they loaded the groceries into the back of the car.	they loaded the groceries into the back of the hatchback.	entailment		
210	they loaded the groceries into the back of the hatchback.	they loaded the groceries into the back of the car.	hatchback	car	non-entailment
211	a compact car navigated through the narrow village lanes.	a compact sedan navigated through the narrow village lanes.	entailment		
212	a compact sedan navigated through the narrow village lanes.	a compact car navigated through the narrow village lanes.	sedan	car	non-entailment
213	a compact car navigated through the narrow village lanes.	a compact convertible navigated through the narrow village lanes.	entailment		
214	a compact convertible navigated through the narrow village lanes.	a compact car navigated through the narrow village lanes.	convertible	car	non-entailment
215	a compact car navigated through the narrow village lanes.	a compact SUV navigated through the narrow village lanes.	entailment		
216	a compact SUV navigated through the narrow village lanes.	a compact car navigated through the narrow village lanes.	SUV	car	non-entailment
217	a compact car navigated through the narrow village lanes.	a compact coupe navigated through the narrow village lanes.	entailment		
218	a compact coupe navigated through the narrow village lanes.	a compact car navigated through the narrow village lanes.	coupe	car	non-entailment
219	a compact car navigated through the narrow village lanes.	a compact hatchback navigated through the narrow village lanes.	entailment		
220	a compact hatchback navigated through the narrow village lanes.	a compact car navigated through the narrow village lanes.	hatchback	car	non-entailment
221	she rented a car to explore the countryside for the weekend.	she rented a sedan to explore the countryside for the weekend.	entailment		
222	she rented a sedan to explore the countryside for the weekend.	she rented a car to explore the countryside for the weekend.	sedan	car	non-entailment
223	she rented a car to explore the countryside for the weekend.	she rented a convertible to explore the countryside for the weekend.	entailment		
224	she rented a convertible to explore the countryside for the weekend.	she rented a car to explore the countryside for the weekend.	convertible	car	non-entailment
225	she rented a car to explore the countryside for the weekend.	she rented a SUV to explore the countryside for the weekend.	entailment		
226	she rented a SUV to explore the countryside for the weekend.	she rented a car to explore the countryside for the weekend.	SUV	car	non-entailment
227	she rented a car to explore the countryside for the weekend.	she rented a coupe to explore the countryside for the weekend.	entailment		
228	she rented a coupe to explore the countryside for the weekend.	she rented a car to explore the countryside for the weekend.	coupe	car	non-entailment
229	she rented a car to explore the countryside for the weekend.	she rented a hatchback to explore the countryside for the weekend.	entailment		
230	she rented a hatchback to explore the countryside for the weekend.	she rented a car to explore the countryside for the weekend.	hatchback	car	non-entailment
231	a black car pulled up to the curb to pick up the performer.	a black sedan pulled up to the curb to pick up the performer.	entailment		
232	a black sedan pulled up to the curb to pick up the performer.	a black car pulled up to the curb to pick up the performer.	sedan	car	non-entailment
233	a black car pulled up to the curb to pick up the performer.	a black convertible pulled up to the curb to pick up the performer.	entailment		
234	a black convertible pulled up to the curb to pick up the performer.	a black car pulled up to the curb to pick up the performer.	convertible	car	non-entailment
235	a black car pulled up to the curb to pick up the performer.	a black SUV pulled up to the curb to pick up the performer.	entailment		
236	a black SUV pulled up to the curb to pick up the performer.	a black car pulled up to the curb to pick up the performer.	SUV	car	non-entailment
237	a black car pulled up to the curb to pick up the performer.	a black coupe pulled up to the curb to pick up the performer.	entailment		
238	a black coupe pulled up to the curb to pick up the performer.	a black car pulled up to the curb to pick up the performer.	coupe	car	non-entailment
239	a black car pulled up to the curb to pick up the performer.	a black hatchback pulled up to the curb to pick up the performer.	entailment		
240	a black hatchback pulled up to the curb to pick up the performer.	a black car pulled up to the curb to pick up the performer.	hatchback	car	non-entailment
241	the emergency crew moved the disabled car off the road.	the emergency crew moved the disabled sedan off the road.	entailment		
242	the emergency crew moved the disabled sedan off the road.	the emergency crew moved the disabled car off the road.	sedan	car	non-entailment
243	the emergency crew moved the disabled car off the road.	the emergency crew moved the disabled convertible off the road.	entailment		
244	the emergency crew moved the disabled convertible off the road.	the emergency crew moved the disabled car off the road.	convertible	car	non-entailment
245	the emergency crew moved the disabled car off the road.	the emergency crew moved the disabled SUV off the road.	entailment		
246	the emergency crew moved the disabled SUV off the road.	the emergency crew moved the disabled car off the road.	SUV	car	non-entailment
247	the emergency crew moved the disabled car off the road.	the emergency crew moved the disabled coupe off the road.	entailment		
248	the emergency crew moved the disabled coupe off the road.	the emergency crew moved the disabled car off the road.	coupe	car	non-entailment
249	the emergency crew moved the disabled car off the road.	the emergency crew moved the disabled hatchback off the road.	entailment		
250	the emergency crew moved the disabled hatchback off the road.	the emergency crew moved the disabled car off the road.	hatchback	car	non-entailment
251	several vehicles waited behind a broken-down car on the bridge.	several cars waited behind a broken-down car on the bridge.	entailment		
252	several cars waited behind a broken-down car on the bridge.	several vehicles waited behind a broken-down car on the bridge.	car	vehicle	non-entailment
253	several vehicles waited behind a broken-down car on the bridge.	several trucks waited behind a broken-down car on the bridge.	entailment		
254	several trucks waited behind a broken-down car on the bridge.	several vehicles waited behind a broken-down car on the bridge.	truck	vehicle	non-entailment
255	several vehicles waited behind a broken-down car on the bridge.	several motorcycles waited behind a broken-down car on the bridge.	entailment		
256	several motorcycles waited behind a broken-down car on the bridge.	several vehicles waited behind a broken-down car on the bridge.	motorcycle	vehicle	non-entailment
257	several vehicles waited behind a broken-down car on the bridge.	several bicycles waited behind a broken-down car on the bridge.	entailment		
258	several bicycles waited behind a broken-down car on the bridge.	several vehicles waited behind a broken-down car on the bridge.	bicycle	vehicle	non-entailment
259	several vehicles waited behind a broken-down car on the bridge.	several buss waited behind a broken-down car on the bridge.	entailment		
260	several buss waited behind a broken-down car on the bridge.	several vehicles waited behind a broken-down car on the bridge.	bus	vehicle	non-entailment
261	a fleet of vehicles arrived at the construction site early.	a fleet of cars arrived at the construction site early.	entailment		
262	a fleet of cars arrived at the construction site early.	a fleet of vehicles arrived at the construction site early.	car	vehicle	non-entailment
263	a fleet of vehicles arrived at the construction site early.	a fleet of trucks arrived at the construction site early.	entailment		
264	a fleet of trucks arrived at the construction site early.	a fleet of vehicles arrived at the construction site early.	truck	vehicle	non-entailment
265	a fleet of vehicles arrived at the construction site early.	a fleet of motorcycles arrived at the construction site early.	entailment		
266	a fleet of motorcycles arrived at the construction site early.	a fleet of vehicles arrived at the construction site early.	motorcycle	vehicle	non-entailment
267	a fleet of vehicles arrived at the construction site early.	a fleet of bicycles arrived at the construction site early.	entailment		
268	a fleet of bicycles arrived at the construction site early.	a fleet of vehicles arrived at the construction site early.	bicycle	vehicle	non-entailment
269	a fleet of vehicles arrived at the construction site early.	a fleet of buss arrived at the construction site early.	entailment		
270	a fleet of buss arrived at the construction site early.	a fleet of vehicles arrived at the construction site early.	bus	vehicle	non-entailment
271	emergency vehicles surged past the stopped traffic.	emergency cars surged past the stopped traffic.	entailment		
272	emergency cars surged past the stopped traffic.	emergency vehicles surged past the stopped traffic.	car	vehicle	non-entailment
273	emergency vehicles surged past the stopped traffic.	emergency trucks surged past the stopped traffic.	entailment		
274	emergency trucks surged past the stopped traffic.	emergency vehicles surged past the stopped traffic.	truck	vehicle	non-entailment
275	emergency vehicles surged past the stopped traffic.	emergency motorcycles surged past the stopped traffic.	entailment		
276	emergency motorcycles surged past the stopped traffic.	emergency vehicles surged past the stopped traffic.	motorcycle	vehicle	non-entailment
277	emergency vehicles surged past the stopped traffic.	emergency bicycles surged past the stopped traffic.	entailment		
278	emergency bicycles surged past the stopped traffic.	emergency vehicles surged past the stopped traffic.	bicycle	vehicle	non-entailment
279	emergency vehicles surged past the stopped traffic.	emergency buss surged past the stopped traffic.	entailment		
280	emergency buss surged past the stopped traffic.	emergency vehicles surged past the stopped traffic.	bus	vehicle	non-entailment
281	various vehicles shared the narrow mountain pass.	various cars shared the narrow mountain pass.	entailment		
282	various cars shared the narrow mountain pass.	various vehicles shared the narrow mountain pass.	car	vehicle	non-entailment
283	various vehicles shared the narrow mountain pass.	various trucks shared the narrow mountain pass.	entailment		
284	various trucks shared the narrow mountain pass.	various vehicles shared the narrow mountain pass.	truck	vehicle	non-entailment
285	various vehicles shared the narrow mountain pass.	various motorcycles shared the narrow mountain pass.	entailment		
286	various motorcycles shared the narrow mountain pass.	various vehicles shared the narrow mountain pass.	motorcycle	vehicle	non-entailment
287	various vehicles shared the narrow mountain pass.	various bicycles shared the narrow mountain pass.	entailment		
